Precipitation,Water Level,Salinity,Evaporation
71.96666667,334.1334615,65,14.73571429
112.875,334.1334615,71.5,14.73571429
77.225,334.1334615,71.5,14.73571429
123.4666667,282.06,71.5,14.73571429
58.43333333,189.293,71.5,14.73571429
85.73333333,334.1334615,78,12.65
63.61666667,334.1334615,71.5,14.73571429
90.64166667,334.1334615,65,15.95
74.09166667,231.82,71.5,14.73571429
90.11666667,334.1334615,71.5,14.73571429
85.13333333,337.01,67,12.6
98.38333333,663.114,76,11.325
71.68333333,261.304,71.5,14.73571429
85.95,334.1334615,71.5,14.73571429
73.84166667,334.1334615,71.5,14.825
111.3916667,294.57,71.5,14.73571429
85.69166667,334.1334615,70,15.9
73.825,334.1334615,89,14.625
94.025,334.1334615,71.5,14.73571429
116.0166667,334.1334615,78,16.875
76.44166667,334.1334615,60,15.75
99.36666667,342.04,71,15.55
67.73333333,334.1334615,71.5,14.73571429
95.09166667,334.1334615,71.5,14.73571429
78.33333333,334.1334615,76,15.35
68.90833333,334.1334615,79,15.375
116.4166667,444.82,75,12.625
70.84166667,324.14,71.5,14.73571429
64.75,334.1334615,71.5,14.73571429
95.53333333,334.1334615,68,15.25
67.81666667,334.1334615,71.5,14.73571429
97.64166667,334.1334615,71.5,14.73571429
100.0416667,334.1334615,69,14.175
80.55833333,334.1334615,65,16.2
78.98333333,261.994,64,14.5
89.04166667,334.1334615,86,11.775
99.35,334.1334615,56,17.5
88.00833333,334.1334615,73,15.1
96.05,284.79,71.5,14.73571429
99.31666667,426.78,71.5,16.3
92.49166667,334.1334615,71.5,14.73571429
79.11666667,334.1334615,71.5,15.725
65.99166667,334.1334615,71.5,16.15
71.61666667,334.1334615,71.5,15
93.91666667,334.1334615,71.5,14.85
76.76666667,334.1334615,71.5,14.73571429
78.20833333,334.1334615,71.5,14.8
75.475,334.1334615,71.5,13.55
102.975,334.1334615,71.5,12.325
90.4,334.1334615,71.5,14.73571429
105.135921,334.6411103,65,14.73571429
84.90416257,334.0015781,71.5,14.73571429
81.15194219,333.7225412,71.5,14.73571429
77.28172699,333.7599224,71.5,14.73571429
78.69648171,334.1782,71.5,14.73571429
97.56342818,334.0969626,78,12.65
101.7167904,334.2712141,71.5,14.73571429
105.6671842,334.5820969,65,15.95
93.54114649,333.8738654,71.5,14.73571429
80.96299442,334.0020349,71.5,14.73571429
109.4919735,334.2350657,67,12.6
91.24580123,333.8425309,76,11.325
93.92209677,334.6870728,71.5,14.73571429
77.89302171,333.7554642,71.5,14.73571429
108.2525822,333.7087328,71.5,14.825
83.03300309,334.1731995,71.5,14.73571429
104.3631777,334.1600545,70,15.9
110.5367218,333.9659078,89,14.625
101.4196634,334.1867901,71.5,14.73571429
108.4021472,334.1111071,78,16.875
93.70302869,334.3515181,60,15.75
97.63189661,333.9313337,71,15.55
100.8350121,334.7998274,71.5,14.73571429
98.68294648,333.8934349,71.5,14.73571429
117.843091,342.06,76,15.35
82.16679328,337.4509,79,15.375
109.0474773,333.9546248,75,12.625
90.15328329,333.8470278,71.5,14.73571429
95.17189922,333.8913394,71.5,14.73571429
92.32989772,333.8239448,68,15.25
93.18861121,334.555872,71.5,14.73571429
98.95351576,334.6577146,71.5,14.73571429
87.33869548,334.7179825,69,14.175
106.4172859,334.2850551,65,16.2
93.84422205,334.5788363,64,14.5
98.80987576,334.335793,86,11.775
77.49550636,334.3597991,56,17.5
110.222804,334.7527624,73,15.1
102.3728763,334.0624436,71.5,14.73571429
86.98549632,334.106501,71.5,16.3
94.54326241,333.8007861,71.5,14.73571429
109.9552401,334.3918919,71.5,15.725
83.10925547,333.9320254,71.5,16.15
102.7885887,334.585808,71.5,15
93.279687,334.3512999,71.5,14.85
99.19868036,334.636424,71.5,14.73571429
110.0589141,334.0034673,71.5,14.8
79.20739856,333.861514,71.5,13.55
102.8282172,333.7807561,71.5,12.325
92.52149839,334.4732572,71.5,14.73571429
97.74610507,334.4750781,65,14.73571429
81.75101,332.1058214,71.5,14.73571429
86.46392365,334.3668937,71.5,14.73571429
108.1885106,334.7965059,71.5,14.73571429
106.173579,332.2917156,71.5,14.73571429
82.51464842,331.6704036,78,12.65
77.64660734,332.4594738,71.5,14.73571429
95.90074422,333.310502,65,15.95
106.4466334,329.5228456,71.5,14.73571429
87.73247318,331.3785973,71.5,14.73571429
79.94531065,332.1853658,67,12.6
106.0046146,334.2927869,76,11.325
99.25307887,334.3235966,71.5,14.73571429
98.34166978,332.1577551,71.5,14.73571429
98.11513986,332.6325607,71.5,14.825
93.43942926,330.3553475,71.5,14.73571429
104.1252217,328.8809191,70,15.9
80.33686757,331.0937874,89,14.625
93.41584183,330.1286799,71.5,14.73571429
86.18507295,328.9426961,78,16.875
83.38484205,330.5292475,60,15.75
88.71564758,333.2896518,71,15.55
91.78425369,329.058706,71.5,14.73571429
85.51153016,334.1390451,71.5,14.73571429
99.43644572,332.1769629,76,15.35
84.87615408,329.2552532,79,15.375
110.9205676,333.6660334,75,12.625
108.9134669,329.4293876,71.5,14.73571429
98.47826479,333.6970245,71.5,14.73571429
97.439929,334.7332573,68,15.25
89.82194372,334.1724334,71.5,14.73571429
85.57425586,332.4532799,71.5,14.73571429
82.64665347,331.8836664,69,14.175
110.1350229,333.7029683,65,16.2
95.11455624,333.894658,64,14.5
98.38419753,334.6244558,86,11.775
77.92965275,334.3985227,56,17.5
88.85214326,334.4837068,73,15.1
86.65219364,333.1802235,71.5,14.73571429
104.439891,330.1479485,71.5,16.3
109.5236684,329.13436,71.5,14.73571429
86.40644759,334.2011218,71.5,15.725
79.27344201,334.4338091,71.5,16.15
91.65774518,329.9199374,71.5,15
96.0016409,330.4017284,71.5,14.85
86.38796252,333.5847632,71.5,14.73571429
97.67130582,330.2592145,71.5,14.8
86.61081131,333.3066733,71.5,13.55
109.2339662,330.1786654,71.5,12.325
105.6167492,334.60659,71.5,14.73571429
79.56382526,329.7784388,65,14.73571429
109.1194586,332.603801,71.5,14.73571429
83.63699304,333.4830669,71.5,14.73571429
90.2338287,333.334181,71.5,14.73571429
100.1551869,332.4870874,71.5,14.73571429
90.71697084,333.3426687,78,12.65
103.9248139,333.0791782,71.5,14.73571429
86.74736323,330.8510223,65,15.95
109.3076859,333.2552407,71.5,14.73571429
78.01793871,334.5519592,71.5,14.73571429
81.42048719,330.4079335,67,12.6
108.5716707,332.6108745,76,11.325
101.7894034,330.6646227,71.5,14.73571429
99.04543886,334.6513449,71.5,14.73571429
86.01448194,329.2992067,71.5,14.825
101.8918998,334.902407,71.5,14.73571429
110.0184337,331.134059,70,15.9
90.61791878,329.1912631,89,14.625
102.8034677,332.5756151,71.5,14.73571429
85.00654232,331.9312777,78,16.875
81.45166066,329.656067,60,15.75
89.66609055,328.9909815,71,15.55
91.18716716,332.059852,71.5,14.73571429
91.52409114,329.0068676,71.5,14.73571429
85.04551485,330.346844,76,15.35
106.6338106,329.2326573,79,15.375
89.50722314,330.5247708,75,12.625
80.05372592,330.5053297,71.5,14.73571429
102.941344,331.4281362,71.5,14.73571429
79.11491783,328.8366495,68,15.25
102.0943955,333.5738869,71.5,14.73571429
107.3194697,328.8115374,71.5,14.73571429
84.07851772,328.809,69,14.175
90.40365113,329.3450978,65,16.2
92.51217389,334.0697926,64,14.5
79.37016132,331.651853,86,11.775
107.1610715,330.3579235,56,17.5
92.34362067,333.1412538,73,15.1
99.33247633,331.4015723,71.5,14.73571429
85.19954969,333.1571804,71.5,16.3
108.2112588,329.45239,71.5,14.73571429
105.248773,329.8111814,71.5,15.725
108.2463141,328.8048123,71.5,16.15
96.82576475,330.9456173,71.5,15
82.12652966,334.5096131,71.5,14.85
108.2698304,329.5184105,71.5,14.73571429
97.66976253,330.7149176,71.5,14.8
95.79643018,330.7063964,71.5,13.55
94.06021021,334.1795535,71.5,12.325
90.35104699,332.3831415,71.5,14.73571429
92.52609502,329.3653049,65,14.73571429
97.5647777,331.6431741,71.5,14.73571429
102.7816123,329.5225077,71.5,14.73571429
102.8011395,329.5748936,71.5,14.73571429
103.8884011,334.6313586,71.5,14.73571429
84.15936113,331.0659052,78,12.65
108.5033874,331.6468228,71.5,14.73571429
91.0525406,329.6066784,65,15.95
95.1653867,333.6598077,71.5,14.73571429
103.9389094,333.7390675,71.5,14.73571429
109.6221859,332.9523483,67,12.6
97.12864439,329.1596481,76,11.325
87.55327229,334.5694014,71.5,14.73571429
